Timestamp,BPM
13:00:04,83
13:00:05,83
13:00:05,83
13:00:06,80
13:00:06,77
13:00:07,74
13:00:07,71
13:00:08,70
13:00:08,69
13:00:09,70
13:00:09,77
13:00:10,81
13:00:10,79
13:00:11,79
13:00:11,79
13:00:12,79
13:00:12,80
13:00:13,81
13:00:13,79
13:00:14,76
13:00:14,77
13:00:15,76
13:00:15,75
13:00:16,72
13:00:16,72
13:00:17,71
13:00:17,73
13:00:18,74
13:00:18,75
13:00:19,76
13:00:19,77
13:00:20,78
13:00:20,79
13:00:21,79
13:00:21,79
13:00:22,79
13:00:22,79
13:00:23,79
13:00:23,78
13:00:24,77
13:00:24,75
13:00:25,74
13:00:25,73
13:00:26,72
13:00:26,73
13:00:27,74
13:00:27,75
13:00:28,75
13:00:28,76
13:00:29,75
13:00:29,73
13:00:30,71
13:00:30,70
13:00:31,68
13:00:31,69
13:00:32,71
13:00:32,72
13:00:33,75
13:00:33,77
13:00:34,80
